Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"14-01-2026 15:16";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_151526.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 15:16";1;;LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 16:03";4;STAFF;VIEW_DOKUMEN_ARSIP;"Melihat arsip dokumen kinerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:04";2;ATASAN;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:11";1;ADMIN;EXPORT_USERS_PDF;"Mengunduh daftar pengguna dalam format PDF (5 data, dikelompokkan per bidang).";"users #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:12";1;ADMIN;EXPORT_PERJANJIAN_KINERJA;"Admin mengekspor dokumen Perjanjian Kinerja untuk tahun 2026 dalam format PDF.";"perjanjian_kinerja #5";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:12";1;ADMIN;EXPORT_PIC_PDF;"Admin mengekspor laporan PIC indikator kinerja lintas unit dan jabatan ke dalam file PDF.";"pic_indikator #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:13";1;ADMIN;EXPORT_DOKUMEN_PDF;"Admin mengekspor daftar dokumen ke file PDF melalui menu kategori dokumen.";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:17";4;STAFF;EXPORT_ARSIP_DOKUMEN;"Mengunduh arsip dokumen unit/bidang dalam bentuk PDF";"dokumen_arsip #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:18";4;STAFF;VIEW_DOKUMEN_ARSIP;"Melihat arsip dokumen kinerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 16:19";4;STAFF;EXPORT_ARSIP_DOKUMEN;"Mengunduh arsip dokumen unit/bidang dalam bentuk PDF";"dokumen_arsip #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
