Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"14-01-2026 14:51";1;ADMIN;CLEANUP_ARCHIVE;"Menghapus seluruh data log arsip setelah backup tervalidasi.";"activity_logs_archive #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 14:52";1;ADMIN;UPDATE_LOG_SCHEDULE;"Admin menetapkan jadwal log pertama kali jadwal log: arsip setelah 2 bulan, hapus setelah 6 bulan, backup otomatis aktif";"activity_log_schedule #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 14:52";1;;LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:52";1;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:52";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;;RESTORED_LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;;RESTORED_LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;;RESTORED_LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:53";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_145235.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 14:54";1;;LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:54";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:14";1;ADMIN;UPDATE_LOG_SCHEDULE;"Admin memperbarui jadwal log: arsip setelah 2 bulan, hapus setelah 6 bulan, backup otomatis aktif";"activity_log_schedule #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 15:15";1;;LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:15";1;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:15";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;;LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 15:16";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_134133.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
