Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"19-09-2025 14:19";Administrator;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"19-09-2025 14:19";Administrator;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"19-09-2025 14:19";Administrator;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"19-09-2025 14:19";Administrator;ADMIN;RESTORED_LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_133312.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"19-09-2025 14:19";Administrator;;RESTORED_LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
